File,Title,Author,FirstLine,LongestLine
hl26.htm,A Mate Can Do No Wrong,Henry Lawson,"We learnt the creed at Hungerford, We learnt the creed at Bourke;",50
hl27.htm,The Men Who Sleep With Danger,Henry Lawson,The men who camp with Danger Are mostly quiet men:,59
hl28.htm,To An Old Mate,Henry Lawson,"Old Mate! In the gusty old weather, When our hopes and our troubles were new,",58
hl29.htm,The Free Selector's Daughter,Henry Lawson,"I met her on the Lachlan Side – A darling girl I thought her,",44
hl30.htm,Up The Country,Henry Lawson,I am back from up the country — very sorry that I went — Seeking for the Southern poets' land whereon to pitch my tent;,82
hl31.htm,The Ghost,Henry Lawson,"Down the street as I was drifting with the city's human tide,",81
hl32.htm,The Song and the Sigh,Henry Lawson,"The creek went down with a broken song, 'Neath the sheoaks high;",63
hl33.htm,When the Children Come Home,Henry Lawson,"On a lonely selection far out in the West An old woman works all the day without rest,",67
hl34.htm,Peter Anderson and Co.,Henry Lawson,"He had offices in Sydney, not so many years ago, And his shingle bore the legend `Peter Anderson and Co.',",83
hl35.htm,The Shame of Going Back,Henry Lawson,"When you've come to make a fortune and you haven't made your salt, And the reason of your failure isn't anybody's fault -",77
hl36.htm,Mount Bukaroo,Henry Lawson,"Only one old post is standing - Solid yet, but only one -",50
hl37.htm,The Song of Old Joe Swallow,Henry Lawson,"When I was up the country in the rough and early days, I used to work along ov Jimmy Nowlett's bullick-drays;",83
hl38.htm,Sez You,Henry Lawson,"When the heavy sand is yielding backward from your blistered feet, And across the distant timber you can SEE the flowing heat;",84
hl39.htm,Jack Dunn of Nevertire,Henry Lawson,"It chanced upon the very day we'd got the shearing done, A buggy brought a stranger to the West-o'-Sunday Run;",81
hl40.htm,For'ard,Henry Lawson,"It is stuffy in the steerage where the second-classers sleep, For there's near a hundred for'ard, and they're stowed away like sheep, --",83
hl41.htm,The Shanty on the Rise,Henry Lawson,"When the caravans of wool-teams climbed the ranges from the West, On a spur among the mountains stood `The Bullock-drivers' Rest';",81
hl42.htm,The Vagabond,Henry Lawson,White handkerchiefs wave from the short black pier As we glide to the grand old sea --,59
jo01.htm,Said Hanrahan,John O'Brien,"""We'll all be rooned,"" said Hanrahan In accents most forlorn",52
jo02.htm,Around the Boree Log,John O'Brien,"Oh, stick me in the old caboose this night of wind and rain,",74
jo03.htm,Peter Nelson's Fiddle,John O'Brien,"Do you ever dream you hear it, you who went the lonely track? Do you ever hear its simple melodies",86
jo04.htm,Currajong,John O'Brien,Old Father Pat! They'll tell you still with mingled love and pride Of stirring deeds that live and thrill the quiet country-side;,80
jo05.htm,Pitchin at the Church,John O'Brien,"On the Sunday morning mustered, Yarning at our ease;",50
jo06.htm,May I Hear the Kookaburras Once Again,John O'Brien,May a fading fancy hover round a gladness that is over? May a dreamer in the silence rake the ashes of the past?,80
jo07.htm,My Curate's Motor-Bike,John O'Brien,"Before the lad invested we had comfort here indeed; Our lives were as an open book, and he who ran might read;",79
jo08.htm,The Alter Boy,John O'Brien,Now McEvoy was altar-boy As long as I remember;,49
jo09.htm,Tangmalangaloo,John O'Brien,"The bishop sat in lordly state and purple cap sublime, And galvanized the old bush church at Confirmation time;",76
jo10.htm,At Casey's After Mass,John O'Brien,"There's a weather-beaten sign-post where the track turns towards the west,",87
op01.htm,Bannerman of the Dandenong,Alice Werner,"I rode through the bush in the burning noon,  Over the hills to my bride,",58
op02.htm,Bill Brown,Edward S Sorenson,I met Bill Brown on the Prospect Track Astride of a camel cow;,55
op03.htm,Dog - Gone,Frank Daniel,"In the far-off town of 'Somewhere' where the drifters come and go. There's half a town of locals, and the half that no-one knows.",78
op04.htm,"The Tomb of Lt John Learmonth, AIF",John Manifold,"This is not sorrow, this is work:  I build A cairn of words over a silent man,",62
op05.htm,How McDougal Topped the Score,Thomas E. Spencer,A peaceful spot is Piper's Flat. The folk that live around - They keep themselves by keeping sheep and turning up the ground;,82
op06.htm,My Country,Dorothea MacKellar,"The love of field and coppice, Of green and shaded lanes,",45
op07.htm,The Pioneers,Frank Hudson,"We are the old-world people, Ours were the hearts to dare;",63
op08.htm,Post-Hole Mick,G.M. Smith (Steele Grey),A short time back while over in Vic. I met with a chap called Post-Hole Mick;,61
op09.htm,How the Sailor Rode the Brumby,Anon,There was an agile sailor lad Who longed to know the bush,52
op10.htm,The Flea,Frank Daniel,We were drinking beer in a quiet Pub in a little old town out west.,58
op11.htm,The Aussie Species,Frank Daniel,Have you ever had a decent look at the species 'Aussie man.' Both sexes I'm referring to - they roam throughout this land.,81
op12.htm,Family Trees,Frank Daniel,"Family trees are funny things, they grow from many roots. Some grow tall and thin and lean, some spread lots of shoots.",84
op13.htm,A Snake Yarn,W. T. Goodge,"""You talk of snakes,"" said Jack the Rat,"" But, blow me, one hot summer, ",54
op14.htm,The Net,DJ Campbell,Great gums creak against the breeze That bears a mystic scent,48
op15.htm,Drought,William H. Ogilvie,"My road is fenced with the bleached, white bones And strewn with the blind, white sand,",60
op16.htm,Australasia,William Charles Wentworth,Celestial poesy! whose genial sway Earth's furthest habitable shores obey;,62
op17.htm,The Buried Chief,Sir Henry Parkes,With speechless lips and solemn tread They brought the Lawyer-Statesman home:,50
op18.htm,Thora's Song,Adam Lindsay Gordon,"We severed in Autumn early, Ere the earth was torn by the plough;",54
op19.htm,The Sick Stockrider,Adam Lindsay Gordon,"Hold hard, Ned! Lift me down once more, and lay me in the shade. Old man, you've had your work cut out to guide",83
op20.htm,The Battle of Life,Charles Harpur,"Never give up, though life be a battle Wherein true men may fail, and true causes be sold;",67
op21.htm,An Exile's Farewell,Adam Lindsay Gordon,"The ocean heaves around us still With long and measured swell,",49
op22.htm,The Beer Prayer,Author Unknown,Which art in barrels Hallowed be thy drink,53
op23.htm,Rafferty Rides Again,Thomas V. Tierney,There's a road outback that becomes a track Where the hills dip down to the plain;,55
op24.htm,Brave Ben Hall,Anon,Come all Australian sons with me For a hero has been slain,48
op25.htm,Tumba Bloody Rumba,John O'Grady (aka Nino Culotta),"I was down the Riverina, knockin' 'round the towns a bit, And occasionally resting with a schooner in me mitt,",75
op26.htm,The Little Worn Out Pony,Anon,There's a little worn-out pony this side of Hogan's shack  With a snip upon his nuzzle and a mark upon his back;,87
op27.htm,The Bushrangers,Edward Harrington.,"Four horsemen rode out from the heart of the range, Four horsemen with aspects forbidding and strange.",72
op28.htm,Holy Dan,Anon,"It was in the Queensland drought; And over hill and dell,",53
op29.htm,Bulls of Speewah,R. C. Pearce (Bob Bloodwood),"This talk of wild bulls of the Dawson scrubs, says old Joe, leaves me cold. But I tells you bulls were dinkum cows in them Speewah days of old,",90
op30.htm,Cattle Rush on a Night Camp,Charles MacAlister,"""Look out on your left,"" said McKenzie, ""the cattle are off like a streak! - Rouse up the camp as you're passing"" - his words seemed to end in a shriek.",87
op31.htm,West by North Again,Harry 'The Breaker' Morant,"We've drunk our wine, we've kissed our girls, and funds are sinking low, The horses must be thinking it's a fair thing now to go;",81
op32.htm,The Phantom Mob,W.M. Flemming,"Yes; I'm Harry Black - Mad Harry - and I often hear 'em say: ""Oh! he's off, poor chap; don't heed him - he has seen a better day.",77
op33.htm,The Last Muster,William Henry Ogilvie,"All day we had driven the starving sheep to the scrub where the axes ply, And the weakest had lagged upon weary feet and dropped from the ranks to die;",90
op34.htm,Lofty Lane,Edwin Gerard,"Buckle the spur and belt again,",53
op35.htm,A Land of Backyard Cricketers,Jason Rupert McCall,"When I sit and watch the cricket, there's a place I often go Through a window, where I stare upon a yard that needs a mow",83
op36.htm,That Day on Boiling Downs,Jack Mathieu,"He was driving Irish tandem, but perhaps I talk at random ' I'd forgotten for a moment you are not all mulga bred;",115
op37.htm,Are you the cove,Joseph Furphy,'Are you the Cove?' he spoke the words As swagmen only can;,50
op38.htm,His Story,JPB,"'My name?' (He was wizened and wrinkled and grey, And poverty-painted and old;",68
op39.htm,The Old Conservative,E.S. Emerson,"The old bush-whacker bowed his head, And mournfully he sighed and sighed",51
op40.htm,The Sundowner's Sacrifice,J.O.,"Old Jacky gazed on the setting sun As he stood by his garden gate,",61
op41.htm,The Swagman's Farewell to Matilda,Jacy Hill,The swagman sat upon a log beside a waterhole And eyed Matilda on the ground with anguish in his soul.,77
op42.htm,Five Bells,Kenneth Slessor,"Time that is moved by little fidget wheels Is not my time, the flood that does not flow.",64
op43.htm,Thief of the Moon,Kenneth Slessor,"Thief of the moon, thou robber of old delight, Thy charms have stolen the star-gold, quenched the moon-",65
op44.htm,Mangroves,Kenneth Slessor,"These black bush-waters, heavy with crusted boughs Like plumes above dead captains, wake the mind....",62
op45.htm,North Country,Kenneth Slessor,"North Country, filled with gesturing wood, With trees that fence, like archers' volleys,",60
op46.htm,The Australian Sunrise,James Lister Cuthbertson,"The Morning Star paled slowly, the Cross hung low to the sea, And down the shadowy reaches the tide came swirling free,",77
op47.htm,Eve-Song,Mary Gilmore,I span and Eve span A thread to bind the heart of man;,53
op48.htm,South Country,Kenneth Slessor,"After the whey-faced anonymity Of river-gums and scribbly-gums and bush,",58
op49.htm,The Open Sea,Dorothea Mackellar,"From my window I can see,  Where the sandhills dip, ",45
op50.htm,Australian Spring,Hugh McCrae,"The bleak-faced winter, with his braggart winds  (Coiled to his scrawny throat in tattered black), ",59
xop1.htm,Elergy on the Death of a Mad Dog,Oliver Goldsmith,"Good people all, of every sort, Give ear unto my song;",49
xop2.htm,The Highwayman,Alfred Noyes,"The wind was a torrent of darkness among the gusty trees, The moon was a ghostly galleon tossed upon cloudy seas,",116
xop3.htm,For The Fallen,Laurence Binyon,"With proud thanksgiving, a mother for her children, England mourns for her dead across the sea.",66
